False;text;is_retweet;original_author;time;in_reply_to_screen_name;is_quote_status;retweet_count;favorite_count;source_url;truncated;hasHashtag;TweetID
False;"'How Trump won over a bar full of undecideds and Democrats'
https://t.co/WWO39kxn8Y";False;;20160927125531;;False;6704;15988;http://twitter.com/download/iphone;False;False;49
False;I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?;False;;20160927125342;;False;21628;59791;http://twitter.com/download/android;False;False;50
True;"""I have a winning temperament."" —Donald Trump last night 

Really? #SheWon https://t.co/nMTFoISagO";False;;20160927123221;;False;4120;10456;https://studio.twitter.com;False;True;51
False;Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!;False;;20160927104458;;False;4437;16423;http://twitter.com/download/android;False;False;52
False;"TIME #DebateNight poll - over 800,000 votes. Thank you! 
#AmericaFirst #MAGA https://t.co/bTPX9E0wKu";False;;20160927053633;;False;12479;27258;http://twitter.com/download/iphone;False;True;53
False;".@newtgingrich just said ""a historic victory for Trump."" NICE!";False;;20160927051810;;False;7709;24434;http://twitter.com/download/android;False;False;54
True;Tonight, @HillaryClinton proved she is ready to be President — and Donald Trump proved he is not. #debatenight https://t.co/Zeq5iF09Bc;True;JoeBiden;20160927051656;;False;10733;30012;https://about.twitter.com/products/tweetdeck;False;True;55
False;Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!;False;;20160927043409;;False;12739;40321;http://twitter.com/download/android;False;False;56
True;43 days left. Let’s go win this thing: https://t.co/vJShYQPqJb #DebateNight https://t.co/MzR30MEI0J;False;;20160927040438;;False;6505;21912;https://about.twitter.com/products/tweetdeck;False;True;57
False;"Thank you Governor @TerryBranstad! 
#AmericaFirst #Debates2016 https://t.co/yIeZctdQy8";False;;20160927040251;;True;5578;14830;http://twitter.com/download/iphone;False;True;58
False;"Thank you Senator @TedCruz!
#Debates2016 #MAGA https://t.co/cgO6109USJ";False;;20160927035824;;False;18519;39447;http://twitter.com/download/iphone;False;True;59
True;.@timkaine That's what we @Wellesley girls do! And it's so clear @HillaryClinton is the only candidate prepared to be president #debatenight;True;madeleine;20160927035239;;False;3229;10833;http://twitter.com;False;True;60
True;"Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight https://t.co/0wrISjJe6z";False;;20160927033357;;False;57182;74103;https://studio.twitter.com;False;True;61
True;Hillary Clinton did what she needed to do: https://t.co/OhN5ZjCu2G https://t.co/4P3f6pNXB3;True;TheAtlantic;20160927031822;;False;2277;6913;http://twitter.com;False;False;62
True;Tonight, we heard from two candidates -- but only one president. #ImWithHer;True;ChadHGriffin;20160927031449;;False;7576;20896;http://twitter.com;False;True;63
True;"""Hillary won big time. It was a shut out."" -- @HardballChris #debatenight";True;hardball;20160927031231;;False;4682;12991;http://twitter.com;False;True;64
True;Clinton won this debate in part because she had more stamina for this than Trump. He flagged badly after 30 minutes. She didn't.;True;ezraklein;20160927030324;;False;8546;22141;http://twitter.com;False;False;65
True;Text IMWITHHER to 47246 to tell Hillary you're on her team all the way to Election Day. #debatenight https://t.co/YzlkvzVTGY;False;;20160927025050;;False;3134;12026;https://about.twitter.com/products/tweetdeck;False;True;66
True;RT this if you're proud to be standing with Hillary tonight. #debatenight https://t.co/91tBmKxVMs;False;;20160927024544;;False;80169;80678;https://about.twitter.com/products/tweetdeck;False;True;67
True;Hillary just proved she's the only candidate who's ready to be president. Chip in now and let's go win this thing: https://t.co/ATqqxWU0Hc;False;;20160927024315;;False;5065;16336;https://about.twitter.com/products/tweetdeck;False;False;68
False;".@HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight
https://t.co/qfZTx6aKYs";False;;20160927024249;;False;8575;19522;http://twitter.com/download/iphone;False;True;69
False;Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight;False;;20160927024026;;False;30921;56562;http://twitter.com;False;True;70
True;"When Donald Trump says he has a ""winning temperament."" #debatenight https://t.co/ElQ7aG2vxu";False;;20160927024004;;False;26656;48875;https://about.twitter.com/products/tweetdeck;False;True;71
True;The woman Trump called “Miss Piggy” has a name: Alicia. #debatenight https://t.co/XlthzE8X8j;False;;20160927023801;;False;23394;36574;https://studio.twitter.com;False;True;72
False;.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight https://t.co/f7PctDE31L;False;;20160927023611;;False;6680;15499;http://twitter.com/download/iphone;False;True;73
True;"""When Donald Trump spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina."" —Hillary #debatenight";False;;20160927023521;;False;20652;46042;https://about.twitter.com/products/tweetdeck;False;True;74
False;.@realDonaldTrump calling out @HillaryClinton's support for NAFTA = most searched moment during tonight's debate.… https://t.co/2BovwrJisi;True;TeamTrump;20160927023359;;False;6139;13209;http://twitter.com;False;False;75
True;"Donald Trump's ""cavalier attitude about nuclear weapons is so deeply troubling.” #DebateNight https://t.co/z66rUZz31J";False;;20160927023000;;False;5011;13026;https://about.twitter.com/products/tweetdeck;False;True;76
False;Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton.;False;;20160927022826;;False;11851;26791;http://twitter.com;False;False;77
True;.@realDonaldTrump: Barack Obama is your president too. #debatenight;False;;20160927022723;;False;17402;38775;https://about.twitter.com/products/tweetdeck;False;True;78
True;A man who can be provoked by a tweet should not have his hands anywhere near the nuclear codes. #DebateNight;False;;20160927022633;;False;45008;82338;https://about.twitter.com/products/tweetdeck;False;True;79
True;"Donald Trump says he has better temperament than Hillary Clinton.

Fact check: He is Donald Trump. 

#debate";True;TheBriefing2016;20160927022439;;False;5646;10367;https://about.twitter.com/products/tweetdeck;False;True;80
False;"100% TRUE --&gt; @realDonaldTrump is right - @HillaryClinton did call TPP ‘the gold standard’ #Debates2016 
https://t.co/W7L7a9wSCB";True;TeamTrump;20160927022212;;False;7419;12728;http://twitter.com/download/iphone;False;True;81
False;Hillary Clinton is the only candidate on stage who voted for the Iraq War. #Debates2016 #MAGA https://t.co/Um5WJXEEKr;False;;20160927022159;;False;9001;20725;http://twitter.com;False;True;82
False;".@HillaryClinton's 2008 Campaign And Supporters Trafficked In Rumors About Obama's Heritage #DebateNight 
https://t.co/6EEOAaCiNv";False;;20160927021947;;False;5763;12471;http://twitter.com/download/iphone;False;True;83
False;Hillary's policies have made America less safe, that's why 200+ general and military leaders have endorsed… https://t.co/x7sBpy0CEV;True;TeamTrump;20160927021920;;False;4741;10739;http://twitter.com;False;False;84
True;"""I hope the fact-checkers are turning up the volume. Donald Trump supported the invasion of Iraq.” https://t.co/CoyJtoyxd0";False;;20160927021809;;True;7062;12598;https://about.twitter.com/products/tweetdeck;False;False;85
True;This is... still not true! #debate https://t.co/6SKFZunCL5;True;TheBriefing2016;20160927021653;;False;1387;2339;https://about.twitter.com/products/tweetdeck;False;True;86
True;What is the deal with Donald Trump and Russia? https://t.co/xUYxOdoYo3 #debatenight;False;;20160927021357;;False;2540;4893;https://about.twitter.com/products/tweetdeck;False;True;87
True;Trump's top Russia advisor is being probed for meeting with the Kremlin aide in charge of US election intelligence.  https://t.co/GN5Gg4ug0L;True;TheBriefing2016;20160927021336;;False;1213;1638;https://about.twitter.com/products/tweetdeck;False;False;88
False;"Jesse Jackson on @realDonaldTrump - when he donated space for the Rainbow/Push Coalition. 
#DebateNight https://t.co/JTbqO0DNzy";True;DanScavino;20160927021030;;False;5055;8520;http://twitter.com/download/iphone;False;True;89
True;When Donald Trump goes low, we go high. #DebateNight https://t.co/5MUlOMJqWM;False;;20160927020829;;False;6189;16416;https://about.twitter.com/products/tweetdeck;False;True;90
True;"When a man is sued for discriminating against black tenants &amp; pushes birtherism, he's giving you an idea of what kind of president he'd be.";False;;20160927020651;;False;13915;26574;https://about.twitter.com/products/tweetdeck;False;False;91
